MSE: 0.08064632379471015, PSNR: 36.704849995489596
MSE: 0.06121159546920644, PSNR: 41.53661971640897
MSE: 0.060337419207628314, PSNR: 46.084635701468216
MSE: 0.07300990938448723, PSNR: 38.52560588778197
MSE: 0.11202634607225875, PSNR: 42.76322860461966
MSE: 0.17872928507490132, PSNR: 39.236209299555206
MSE: 0.28329816879101977, PSNR: 50.311010548197544
MSE: 0.15380296459733953, PSNR: 67.31342700621222
MSE: 0.1371142764562969, PSNR: 47.52537057061182
MSE: 0.10270132668128067, PSNR: 57.24067108609038
MSE: 0.08139040758884515, PSNR: 39.36172343880307
MSE: 0.1741042967461477, PSNR: 66.80386175010244
MSE: 0.12918842142652387, PSNR: 50.22565796968965
MSE: 0.2294764292388583, PSNR: 48.150412112811736
MSE: 0.18734693934970617, PSNR: 53.289341349826046
MSE: 0.17963645335731146, PSNR: 49.96512539960857
MSE: 0.18068063927080588, PSNR: 49.592267611326164
MSE: 0.0953401323751706, PSNR: 42.67146600248311
MSE: 0.11166942967636458, PSNR: 44.61383249437751
MSE: 0.11092501001729482, PSNR: 54.15068933344399
MSE: 0.27358050355135444, PSNR: 46.56902880828304
MSE: 0.16917363084582523, PSNR: 42.90450061348992
MSE: 0.10533157424403954, PSNR: 44.64863278188054
MSE: 0.10844574612472282, PSNR: 36.09782234751767
MSE: 0.14073301335900856, PSNR: 37.635231671915356
MSE: 0.1526314627881256, PSNR: 42.86504856290655
MSE: 0.19834234063579106, PSNR: 40.43279254146209
MSE: 0.2551070325572262, PSNR: 51.99558734394085
MSE: 0.21488976501596138, PSNR: 50.76075542674186
MSE: 0.14610114429543533, PSNR: 37.09872280838106
MSE: 0.14704016989558472, PSNR: 48.99923834402493
MSE: 0.03757364665094329, PSNR: 39.843270062619276
MSE: 0.09442265637618527, PSNR: 43.78688845761607
MSE: 0.29926459747190687, PSNR: 42.411109108744114
MSE: 0.12837650589570088, PSNR: 42.61656731476599
MSE: 0.16668459504018024, PSNR: 49.96282816347889
MSE: 0.15268793762930968, PSNR: 41.57342375914919
MSE: 0.11651108541799618, PSNR: 34.05528289012752
MSE: 0.08897493403560026, PSNR: 36.312884535472
MSE: 0.032419782430448345, PSNR: 49.93162004574627
MSE: 0.11258389894932586, PSNR: 61.111883341886106
MSE: 0.0733296863894721, PSNR: 36.09399049610111
MSE: 0.07639700179660579, PSNR: 46.693919720806875
MSE: 0.10452103218214767, PSNR: 87.79360043887826
MSE: 0.07390779452507547, PSNR: 43.506196414262064
MSE: 0.1085764561758428, PSNR: 40.76201349225886
MSE: 0.10654920495822233, PSNR: 38.81607570565288
