MSE: 0.19165468198715965, PSNR: 48.940976721260384
MSE: 0.09814117934383469, PSNR: 65.58664392365361
MSE: 0.1099190879082489, PSNR: 60.39581903628863
MSE: 0.10870814929347994, PSNR: 57.931712675100755
MSE: 0.7349829264408977, PSNR: 27.887700345173435
MSE: 0.9994720268801406, PSNR: 32.60097619733013
MSE: 1.5250833049515211, PSNR: 20.210702879195964
MSE: 0.6031208681568168, PSNR: 15.383473391801108
MSE: 1.035974870987318, PSNR: 24.103643022451493
MSE: 0.5395456586093549, PSNR: 24.782897669135817
MSE: 0.11338852201314203, PSNR: 62.40714721934204
MSE: 1.383937714889092, PSNR: 16.520399967883804
MSE: 0.710916034898, PSNR: 23.359765681627252
MSE: 1.895328291230089, PSNR: 14.84342817774532
MSE: 1.3824463670842808, PSNR: 16.534032835347382
MSE: 1.5505162925135738, PSNR: 13.543605385599404
MSE: 1.709485028703204, PSNR: 13.41359038636301
MSE: 0.6464657820877198, PSNR: 33.50587052519489
MSE: 0.618957049261732, PSNR: 35.75055382742187
MSE: 0.5727749528079624, PSNR: 23.382176243118376
MSE: 1.719856888933102, PSNR: 17.34740975307161
MSE: 0.27429989663315274, PSNR: 32.71037808904255
MSE: 0.4556047884846198, PSNR: 32.39243390357749
MSE: 0.11318284408274541, PSNR: 60.22677188719841
MSE: 0.5061037685763411, PSNR: 32.364736617691506
MSE: 0.5642576949099027, PSNR: 32.1062029047887
MSE: 1.271846634078567, PSNR: 26.550188751828443
MSE: 1.3388462144000932, PSNR: 16.269893989794287
MSE: 1.052255772648693, PSNR: 15.753155741273977
MSE: 0.4350023411881344, PSNR: 41.1943157770342
MSE: 0.40911622114504725, PSNR: 24.569626368884265
MSE: 0.09463201268667776, PSNR: 55.07412829480499
MSE: 0.1872437499684236, PSNR: 47.41327964039803
MSE: 1.7452074282793393, PSNR: 24.567695269352775
MSE: 0.4838143235389247, PSNR: 31.164952191620223
MSE: 0.3044214899668779, PSNR: 31.57116466486054
MSE: 0.4183675472749846, PSNR: 37.33106387856256
MSE: 0.14017846312333215, PSNR: 61.3658223861984
MSE: 0.1463098219259674, PSNR: 58.16541852074208
MSE: 0.11380033622577387, PSNR: 54.70190080722064
MSE: 0.3445551342874946, PSNR: 24.86146424623387
MSE: 0.08154976690694732, PSNR: 63.36365461645164
MSE: 0.06993484654871349, PSNR: 66.80440388121437
MSE: 0.11300556009809276, PSNR: 39.495543378657885
MSE: 0.09310394206377981, PSNR: 67.91059927377748
MSE: 0.0911347011368732, PSNR: 66.90698059116107
MSE: 0.13793891229427957, PSNR: 55.82058226320619
MSE: 0.6207605680360041, PSNR: 28.845233009492866
MSE: 0.38443437351069354, PSNR: 28.859487036920207
MSE: 0.11296167242377937, PSNR: 65.74992058045936
MSE: 0.12426568649836568, PSNR: 57.28149948387744
MSE: 0.09385852492020315, PSNR: 59.118348691676246
MSE: 0.10092163557711466, PSNR: 65.82105475508251
MSE: 0.12110617103289813, PSNR: 61.8737690650405
MSE: 0.12746942069723402, PSNR: 58.13298938712934
MSE: 0.10711216353857561, PSNR: 61.787391706476996
MSE: 0.09556324515136218, PSNR: 64.36090892187983
MSE: 0.11538418287079445, PSNR: 60.8843215407331
MSE: 0.6078535352530249, PSNR: 21.270995705002385
MSE: 0.08693757766093133, PSNR: 61.007782262883794
MSE: 0.07669403540680465, PSNR: 64.08532137790968
MSE: 0.07343315892494216, PSNR: 66.12062605044822
MSE: 0.10605017451348499, PSNR: 62.33214912571939
MSE: 0.08502702484777645, PSNR: 63.83600790679581
MSE: 0.13414883594539548, PSNR: 61.89640423899605
MSE: 0.1274052009909691, PSNR: 62.50891240626948
MSE: 0.0745974031765992, PSNR: 62.26628704025374
MSE: 0.10629362261251302, PSNR: 65.86710979343245
MSE: 0.09762609390565309, PSNR: 64.78280945625404
MSE: 0.08368210269651134, PSNR: 63.98938087130733
MSE: 0.30695025270310045, PSNR: 45.341905586116425
MSE: 0.19320137614052846, PSNR: 47.02339278965148
MSE: 0.10426747551994754, PSNR: 66.97124716842364
MSE: 0.14077808843306996, PSNR: 48.42979053756103
MSE: 0.09884582058044734, PSNR: 58.6518127734886
MSE: 0.11713025225626973, PSNR: 64.45515594221547
MSE: 0.0957535442478969, PSNR: 65.78561351483783
MSE: 0.08941303284578436, PSNR: 56.65826146902227
MSE: 2.4664483100432646, PSNR: 22.955782232675112
MSE: 0.3355797382597069, PSNR: 46.10474317051527
MSE: 1.782066620498396, PSNR: 14.87153071922345
MSE: 2.2645379622423194, PSNR: 15.829434140738874
MSE: 3.1142277246617094, PSNR: 25.052025972759907
MSE: 1.815863283019236, PSNR: 13.721121967408816
MSE: 2.508194750385293, PSNR: 14.461049378291065
MSE: 2.754750988828438, PSNR: 17.244765724673904
MSE: 0.4332313297085186, PSNR: 34.365139162877554
MSE: 1.1331368333840484, PSNR: 17.294770188952477
MSE: 2.0949814741146358, PSNR: 14.18685512541815
