MSE: 0.16278566384152718, PSNR: 48.858722207637
MSE: 0.10729432888908841, PSNR: 66.53658865055638
MSE: 0.10979681906677519, PSNR: 61.33668185039458
MSE: 0.12699913417206637, PSNR: 34.26196391208907
MSE: 0.7191909712652668, PSNR: 27.008057891448285
MSE: 0.9872258503810255, PSNR: 31.50623878429602
MSE: 1.5176497871473653, PSNR: 19.745501022840553
MSE: 0.6031296369553094, PSNR: 14.712311771244268
MSE: 1.040327060740248, PSNR: 23.537109872919096
MSE: 0.5280435974661479, PSNR: 23.903434295795396
MSE: 0.11868352144553726, PSNR: 62.99028268564677
MSE: 1.3844958106096008, PSNR: 16.31219365187131
MSE: 0.7005042186006477, PSNR: 22.753042667418242
MSE: 1.8939562790467892, PSNR: 14.430911087385837
MSE: 1.3858132994108685, PSNR: 15.974198919322815
MSE: 1.5485718928794534, PSNR: 13.133461191792993
MSE: 1.7081669982012517, PSNR: 12.955432895307524
MSE: 0.630358926255606, PSNR: 32.65356123351958
MSE: 0.6077522260391449, PSNR: 34.66993661920878
MSE: 0.5751489157636752, PSNR: 22.29026505664433
MSE: 1.7121735541968905, PSNR: 16.78272541504039
MSE: 0.2661814557323135, PSNR: 30.952646149765762
MSE: 0.42818600058700407, PSNR: 31.69168251280066
MSE: 0.12148808007284655, PSNR: 62.400361282338096
MSE: 0.4819119247362437, PSNR: 31.18638467784909
MSE: 0.5405718813223943, PSNR: 31.201716180557895
MSE: 1.2658623922468357, PSNR: 25.85907569468024
MSE: 1.3452389037105874, PSNR: 15.700739439852779
MSE: 1.046456301409064, PSNR: 15.265665800019114
MSE: 0.41649306611221, PSNR: 39.91322350824309
MSE: 0.4100569235342919, PSNR: 23.500624231027707
MSE: 0.09165807689350612, PSNR: 54.379426051494306
MSE: 0.17987053833817132, PSNR: 46.803764082367756
MSE: 1.7415928999791437, PSNR: 24.027561039479444
MSE: 0.4784144379661259, PSNR: 29.62807586141819
MSE: 0.3110440788180938, PSNR: 29.965634291333956
MSE: 0.39526935631663823, PSNR: 36.01275269301571
MSE: 0.12422815458714376, PSNR: 64.12506175120153
MSE: 0.12892061321403075, PSNR: 59.067069846661894
MSE: 0.12910245361778114, PSNR: 58.136106573077285
MSE: 0.3491186171826934, PSNR: 24.341311554175768
MSE: 0.08954590555989807, PSNR: 40.46747452204752
MSE: 0.09257052394502477, PSNR: 37.858851830905344
MSE: 0.11417491764104369, PSNR: 39.13112798503514
MSE: 0.09660092038723214, PSNR: 66.6850080260171
MSE: 0.11046251251290289, PSNR: 63.58061205815241
MSE: 0.12281649001613204, PSNR: 57.99591007119695
MSE: 0.6163676726798802, PSNR: 27.400667060443315
MSE: 0.37854081559925107, PSNR: 28.085196728620687
MSE: 0.11456433770954166, PSNR: 65.92959939145702
MSE: 0.1202820449800462, PSNR: 57.73448286742752
MSE: 0.12087343731425441, PSNR: 41.577584876769265
MSE: 0.12001619508863655, PSNR: 64.20686551737128
MSE: 0.1189998264824947, PSNR: 64.04178428092034
MSE: 0.11681981643330391, PSNR: 59.97780198294522
MSE: 0.12031739133248757, PSNR: 64.751513914839
MSE: 0.10977081465073607, PSNR: 61.55468360721068
MSE: 0.12491779468793421, PSNR: 61.21810923845533
MSE: 0.6184283319375229, PSNR: 20.15714223000231
MSE: 0.10316020256599748, PSNR: 55.57288648322646
MSE: 0.09650847637839355, PSNR: 53.8224316007711
MSE: 0.09561845360610347, PSNR: 42.47895911429371
MSE: 0.10971311357324609, PSNR: 61.986030050287766
MSE: 0.10361833010269438, PSNR: 56.23780382098271
MSE: 0.1312275513979696, PSNR: 63.98975685463516
MSE: 0.12542140910833363, PSNR: 64.92430808112027
MSE: 0.08943696115978687, PSNR: 64.39577350724551
MSE: 0.11615260749015813, PSNR: 64.45613594288585
MSE: 0.11992657501017419, PSNR: 61.544234759598595
MSE: 0.09455951696131613, PSNR: 54.51211729105593
MSE: 0.2872653989110779, PSNR: 43.552027492488314
MSE: 0.15582514457670557, PSNR: 46.12004739664073
MSE: 0.10978781756873793, PSNR: 66.93086959783211
MSE: 0.15143376266152353, PSNR: 46.594282669091
MSE: 0.11237163023399079, PSNR: 60.51926621180645
MSE: 0.1231837161461073, PSNR: 63.63833279745542
MSE: 0.11219431242208204, PSNR: 60.789413254491215
MSE: 0.1013735273864322, PSNR: 48.905870058935015
MSE: 2.4666173797353923, PSNR: 22.288884483524313
MSE: 0.3017269208330293, PSNR: 45.42381302695881
MSE: 1.7804575869988326, PSNR: 14.35659526571456
MSE: 2.264822904082901, PSNR: 15.168447424874149
MSE: 3.1173936801821185, PSNR: 24.568618715978655
MSE: 1.8188127474068596, PSNR: 13.183685074958245
MSE: 2.512349981064496, PSNR: 13.90052495383265
MSE: 2.754815546909623, PSNR: 16.838319656375972
MSE: 0.44086915505979407, PSNR: 33.800732037544414
MSE: 1.1310179238745817, PSNR: 16.87253422114486
MSE: 2.0933854247185, PSNR: 13.68951744868256
MSE: 1.4761548729253828, PSNR: 17.854512827396757
MSE: 0.7163920707820733, PSNR: 18.94817534554883
MSE: 0.12403942736270032, PSNR: 65.31534732505143
MSE: 0.12080741793742682, PSNR: 48.98509905559496
MSE: 2.3045458428385928, PSNR: 15.541173650631059
MSE: 2.2616060359311914, PSNR: 14.961022812049496
MSE: 1.9814076841463006, PSNR: 13.07734652999291
MSE: 2.699261464161122, PSNR: 13.58664771984252
MSE: 3.038300308586676, PSNR: 17.434356664657425
MSE: 3.2600041107556015, PSNR: 17.874967430300536
MSE: 3.5025087509178636, PSNR: 16.721288526657936
MSE: 0.9456674272072434, PSNR: 39.31408957137568
MSE: 0.4393529697177155, PSNR: 22.983864782770034
MSE: 1.6283152218613244, PSNR: 14.224285219345505
MSE: 1.0303240260239632, PSNR: 19.32586005439457
MSE: 0.12257298531648735, PSNR: 57.5288889951484
MSE: 0.10791194584407152, PSNR: 67.7705762860728
MSE: 0.11148846831377655, PSNR: 62.78531247917534
MSE: 0.10147863458681942, PSNR: 21.97760106735906
MSE: 0.09340167468309646, PSNR: 25.24995083592637
MSE: 0.1031744912851299, PSNR: 62.84691437529879
MSE: 0.11676290387381381, PSNR: 64.90816061837938
MSE: 0.09637736662381682, PSNR: 52.67695810748452
MSE: 0.0953685795472479, PSNR: 55.379597066118706
MSE: 0.12972950476291012, PSNR: 53.0613055523593
MSE: 0.115589220433687, PSNR: 61.72224485951303
MSE: 0.09526418984674784, PSNR: 52.82194896046305
MSE: 0.11548473181634317, PSNR: 63.20734437090238
MSE: 0.11321417147605664, PSNR: 65.83108290908774
MSE: 0.0964860000531869, PSNR: 36.05170539676547
MSE: 0.09668880260317365, PSNR: 39.66539963112873
MSE: 0.09959712405704799, PSNR: 53.49474142394684
MSE: 0.16323920462278274, PSNR: 43.860555039286226
MSE: 0.1003850177096655, PSNR: 52.195834033764044
MSE: 0.13188438890476892, PSNR: 55.289724714044546
MSE: 0.13916855742413647, PSNR: 59.7968933826056
MSE: 0.12072184855699408, PSNR: 61.78846486449794
MSE: 0.12136844840877799, PSNR: 64.37255823901512
MSE: 0.48296554482639253, PSNR: 31.710540743380413
MSE: 0.4855062969366861, PSNR: 23.97107552386188
MSE: 0.11639812210158049, PSNR: 62.24411269347399
MSE: 0.1222837593432018, PSNR: 54.26835058261665
MSE: 0.12611512588240537, PSNR: 53.8977157974914
MSE: 0.12794437732802846, PSNR: 46.40374299980017
MSE: 0.13264325542770697, PSNR: 49.39067002979839
MSE: 0.10849974566181773, PSNR: 51.365362372420485
MSE: 0.11997779407379991, PSNR: 60.552959581568864
MSE: 0.1267853503897299, PSNR: 58.66376426500657
MSE: 0.11912243552021232, PSNR: 64.78936749649908
MSE: 0.5948878685669184, PSNR: 23.982313253289202
MSE: 0.09789339430811043, PSNR: 62.093219155456
MSE: 0.2300368245794937, PSNR: 42.057534148288696
MSE: 0.10907265963734364, PSNR: 50.422261677746064
MSE: 0.11803742679598793, PSNR: 59.24238356670993
MSE: 0.7798092864569925, PSNR: 12.248234683659149
MSE: 0.2900294763916309, PSNR: 35.87990018552026
MSE: 0.08732077313170218, PSNR: 42.68778166195342
MSE: 0.11802756008288204, PSNR: 64.94951660403609
MSE: 0.4332973140767161, PSNR: 23.45487260812025
MSE: 1.0377486001273832, PSNR: 19.258895745763365
MSE: 1.3134683303765957, PSNR: 18.89876243872284
MSE: 1.035035750011276, PSNR: 25.322997447898313
MSE: 0.9887162223862348, PSNR: 28.01328408995552
MSE: 0.11347644482739724, PSNR: 66.91536634935568
MSE: 0.12094734051146419, PSNR: 62.37627059859501
MSE: 0.10226150249113122, PSNR: 60.165236701063314
MSE: 0.14749499910344196, PSNR: 34.54739420825532
MSE: 0.11961367119994071, PSNR: 60.159143298044135
MSE: 0.14636045828475183, PSNR: 46.615709726292074
MSE: 0.1252180384800612, PSNR: 60.522835628496054
MSE: 0.12436598950376675, PSNR: 64.75117439925158
MSE: 0.12051361494928281, PSNR: 65.13798663749719
MSE: 0.10327442520717826, PSNR: 31.400646506899538
MSE: 0.1295142941244281, PSNR: 41.74861903283498
MSE: 0.448808121355072, PSNR: 24.3169238050422
MSE: 0.10967917046065032, PSNR: 61.45441499505819
MSE: 0.10953658294149701, PSNR: 63.1364443155836
MSE: 0.12609277446284672, PSNR: 50.036923629515684
MSE: 0.11747153310214141, PSNR: 60.150828471002484
MSE: 0.09824492554912911, PSNR: 35.72150120700603
MSE: 0.11393902990554158, PSNR: 54.561874378737095
MSE: 0.11078993057631771, PSNR: 61.9329546078697
MSE: 0.09783976290062946, PSNR: 51.20767118709097
MSE: 0.09709608122370963, PSNR: 43.66050256086244
MSE: 0.10972325654823925, PSNR: 32.380416872644915
MSE: 0.08790347769335374, PSNR: 17.5818329908278
MSE: 0.09201870341367221, PSNR: 38.23200775967933
MSE: 0.1646961089414097, PSNR: 45.171935225573435
MSE: 0.26906096408519015, PSNR: 23.1414680077446
MSE: 0.8034480223681866, PSNR: 13.98041348366739
MSE: 0.2024214457222998, PSNR: 33.44582714141241
MSE: 0.09845249740279997, PSNR: 54.40728027136788
MSE: 0.10415257728805724, PSNR: 57.019639158576155
MSE: 0.10559667228326759, PSNR: 62.60817571432323
MSE: 0.10157854650792006, PSNR: 53.56294456102031
MSE: 1.0007780632528425, PSNR: 25.50462220047774
MSE: 0.3887117312524175, PSNR: 24.502082103099934
MSE: 0.12685738858529477, PSNR: 64.97398706648346
MSE: 0.7881117299338631, PSNR: 17.321243795129565
MSE: 0.3331092617173799, PSNR: 27.012010530076136
MSE: 0.5473685230086281, PSNR: 29.47637625224278
MSE: 0.27161146369293543, PSNR: 42.93739844477667
MSE: 0.10301212025868083, PSNR: 67.28036376243271
MSE: 0.1274370344212149, PSNR: 62.30339363323699
MSE: 0.12068318372666227, PSNR: 44.49645073309977
