MSE: 0.02554249324901497, PSNR: 56.64580113915538
MSE: 0.024681993813937438, PSNR: 64.56821375815446
MSE: 0.023577924408317543, PSNR: 48.427378601202555
MSE: 0.030267400910245695, PSNR: 59.66587739676087
MSE: 0.04062761405363331, PSNR: 64.8967612766065
MSE: 0.050313598597083, PSNR: 68.0776504526944
MSE: 0.05346944318773909, PSNR: 74.85609127675158
MSE: 0.030315851353747807, PSNR: 46.143956200358645
MSE: 0.025332394108812974, PSNR: 39.073714213374025
MSE: 0.022562835053737004, PSNR: 50.12497649094492
MSE: 0.11665945825859536, PSNR: 58.92544527216409
MSE: 0.02053018775782352, PSNR: 49.65503423330321
MSE: 0.021250608980016683, PSNR: 42.109407990238175
MSE: 0.02228003964963471, PSNR: 48.0430997212872
MSE: 0.022124258843470256, PSNR: 49.624894063303714
MSE: 0.021925383854234544, PSNR: 48.41154285006631
MSE: 0.022308980717006873, PSNR: 47.15203248741865
MSE: 0.022985338849761793, PSNR: 43.25423746274291
MSE: 0.024196013301622386, PSNR: 46.76230028923803
MSE: 0.02449667474173619, PSNR: 43.05631552785323
MSE: 0.024263122943491186, PSNR: 43.91787933510067
MSE: 0.10425053753674356, PSNR: 60.032651349010635
MSE: 0.024102532723958302, PSNR: 47.761533500437636
MSE: 0.02197917255632834, PSNR: 49.325100534749566
MSE: 0.021970002902145853, PSNR: 52.05367632777783
MSE: 0.02077548838545851, PSNR: 52.509980887419616
MSE: 0.019148869108849848, PSNR: 46.588832788561724
MSE: 0.018103501872050013, PSNR: 55.768338128427956
MSE: 0.018116685691652548, PSNR: 53.8368896810191
MSE: 0.01703290124108852, PSNR: 49.607618810513195
MSE: 0.020031530840323365, PSNR: 52.416117880373
MSE: 0.020202363976957897, PSNR: 57.89775415469734
MSE: 0.10156644156061642, PSNR: 59.935316932365566
MSE: 0.018851977568036065, PSNR: 44.47474514430158
MSE: 0.018737480037986497, PSNR: 54.906265940466945
MSE: 0.019920475400801125, PSNR: 49.36682768009052
MSE: 0.025642483852813997, PSNR: 67.63640723834943
MSE: 0.018854995770885778, PSNR: 54.6703166392755
MSE: 0.0204140239093349, PSNR: 42.326987735343316
MSE: 0.022758180546230463, PSNR: 38.19971340408484
MSE: 0.024885365460518383, PSNR: 41.80177631840537
MSE: 0.02475186931977933, PSNR: 43.31766833986164
MSE: 0.02497721549360744, PSNR: 43.457985091638534
MSE: 0.10497640773472096, PSNR: 56.57797912734513
MSE: 0.02583137345440866, PSNR: 45.081369171994666
MSE: 0.02496254529829112, PSNR: 44.48766410577878
MSE: 0.026360270474088936, PSNR: 45.287122858495096
MSE: 0.02571469121306731, PSNR: 44.07158618556821
MSE: 0.025206569350164815, PSNR: 43.28044570576088
MSE: 0.028296599768988517, PSNR: 55.36981356959253
MSE: 0.02998512937481429, PSNR: 45.002161752767655
MSE: 0.028990544995728743, PSNR: 53.14621315145164
MSE: 0.027935129418629932, PSNR: 57.77323318074081
MSE: 0.025373368389255833, PSNR: 46.44895271978696
MSE: 0.08852858708862202, PSNR: 78.9881145926603
MSE: 0.021388509453171976, PSNR: 48.91381550764515
MSE: 0.026850428039220945, PSNR: 43.43027234325835
MSE: 0.029259872577420788, PSNR: 42.99753086062125
MSE: 0.03086143873671499, PSNR: 46.59523603465053
MSE: 0.03031356203393086, PSNR: 45.922826900468685
MSE: 0.03120412323765181, PSNR: 41.933296046274855
MSE: 0.03300023425996867, PSNR: 46.454594635333194
MSE: 0.030353902405030598, PSNR: 46.43141229755657
MSE: 0.02890056960441085, PSNR: 46.08403300744459
MSE: 0.025658785512355085, PSNR: 45.821407080379785
MSE: 0.02819500992061096, PSNR: 61.309011436038986
MSE: 0.02319516197874892, PSNR: 45.624641542323204
MSE: 0.027711255722310882, PSNR: 44.46097176134563
MSE: 0.060956902731236946, PSNR: 75.29933979890585
MSE: 0.05567359447878808, PSNR: 75.06772515375503
MSE: 0.015971552969545014, PSNR: 53.61401975885184
MSE: 0.034962598549250205, PSNR: 90.15443368396659
MSE: 0.008085046945885396, PSNR: 71.47222453807221
MSE: 0.010249045353661373, PSNR: 67.02476799261332
MSE: 0.013617398074568141, PSNR: 60.70509187198177
MSE: 0.024631059191555907, PSNR: 74.31800682210972
MSE: 0.07767926919901934, PSNR: 71.2043191464559
MSE: 0.075539804029176, PSNR: 67.79685716875761
MSE: 0.07888735826099325, PSNR: 74.91305397072605
MSE: 0.0823168061329592, PSNR: 80.35424978635851
MSE: 0.07557778393164029, PSNR: 69.40388010997734
MSE: 0.07835485491177244, PSNR: 68.95920191893461
MSE: 0.021798242437853357, PSNR: 55.8274870653793
MSE: 0.025622871598619187, PSNR: 54.927442291146164
MSE: 0.017136168092635823, PSNR: 89.10183019711431
MSE: 0.017862832815077414, PSNR: 87.99623997815713
MSE: 0.017172527768325414, PSNR: 71.73527526006039
MSE: 0.055360437318315664, PSNR: 74.65681523739676
MSE: 0.0881198756132065, PSNR: 53.90781387773349
MSE: 0.1043908581802552, PSNR: 64.42860759662797
MSE: 0.10202420185284522, PSNR: 51.847228397023144
MSE: 0.1127318839950952, PSNR: 50.9056301894404
MSE: 0.07596689444777273, PSNR: 60.301929401620626
MSE: 0.06262069755147814, PSNR: 62.28974967129425
MSE: 0.036510662145009594, PSNR: 50.10855453200997
