MSE: 0.03478997253703359, PSNR: 50.19895188260409
MSE: 0.03698476073672736, PSNR: 49.613940401770904
MSE: 0.03463068629655259, PSNR: 50.91115721502693
MSE: 0.04774443393070881, PSNR: 81.56203985609052
MSE: 0.0804366508825156, PSNR: 51.91381737685689
MSE: 0.12901017021192468, PSNR: 49.38665938190379
MSE: 0.13835700810701534, PSNR: 49.812874240853105
MSE: 0.04315369741029898, PSNR: 60.97718046741171
MSE: 0.03615715160676481, PSNR: 51.99037166708813
MSE: 0.03375052569298311, PSNR: 52.80071695406059
MSE: 0.9572182921886417, PSNR: 30.985729819783412
MSE: 0.03268541117618738, PSNR: 59.65985927585756
MSE: 0.03401402315677467, PSNR: 54.33853130027778
MSE: 0.03530858552554442, PSNR: 59.4097427770763
MSE: 0.035413214044780796, PSNR: 60.8494692059851
MSE: 0.03423289549797761, PSNR: 61.242643889183846
MSE: 0.0341539393086506, PSNR: 59.00410216759184
MSE: 0.036206808098101166, PSNR: 51.27842225652124
MSE: 0.03724757963200618, PSNR: 61.07195508231838
MSE: 0.03794465870068523, PSNR: 52.86521378477908
MSE: 0.0376365730172722, PSNR: 53.724313749061324
MSE: 0.9496000629151071, PSNR: 46.45565791888279
MSE: 0.03670246439577059, PSNR: 58.12014596294738
MSE: 0.031820889294266054, PSNR: 52.55930582676114
MSE: 0.03227629440908187, PSNR: 53.81878590443844
MSE: 0.032098434662211225, PSNR: 47.30145587001087
MSE: 0.03051807497415531, PSNR: 46.99698257803299
MSE: 0.029511092692543893, PSNR: 50.18743372023705
MSE: 0.02939384066280476, PSNR: 48.518867597031914
MSE: 0.028944293707681593, PSNR: 52.096330802540834
MSE: 0.029995707461252807, PSNR: 67.29909030178479
MSE: 0.030691535501739895, PSNR: 67.77006564113329
MSE: 0.792805354023134, PSNR: 48.317061971844424
MSE: 0.030145300626934435, PSNR: 49.451415222942515
MSE: 0.02987747067466797, PSNR: 48.52651972903771
MSE: 0.030686661669754065, PSNR: 53.17861812561902
MSE: 0.03558490963722295, PSNR: 89.22162656927048
MSE: 0.02926838571703826, PSNR: 46.02322370737066
MSE: 0.03331739948911161, PSNR: 51.98777292065847
MSE: 0.03663452163562392, PSNR: 48.70300671057023
MSE: 0.039172612245445895, PSNR: 57.813422112079095
MSE: 0.03932423535459166, PSNR: 52.80852194027069
MSE: 0.04014891534563483, PSNR: 55.93560549424068
MSE: 0.925640724107314, PSNR: 46.58601044049796
MSE: 0.04118439851175298, PSNR: 57.38666737367859
MSE: 0.039754802196973756, PSNR: 55.77634123630879
MSE: 0.04110682002283441, PSNR: 64.73392148637677
MSE: 0.040672656916406695, PSNR: 48.758890228736945
MSE: 0.03959624701210024, PSNR: 55.36684560010926
MSE: 0.04210203774004974, PSNR: 64.49883024663826
MSE: 0.0420015979776362, PSNR: 55.531414186358106
MSE: 0.042364475881614044, PSNR: 63.242615558608826
MSE: 0.039779017794318076, PSNR: 79.49940663026943
MSE: 0.03686961949288932, PSNR: 62.643241709882524
MSE: 0.43248376880258904, PSNR: 49.06604687062779
MSE: 0.03596966382504808, PSNR: 64.41742071503627
MSE: 0.04112103901680812, PSNR: 56.95605955588448
MSE: 0.0441430787979883, PSNR: 55.288536725634366
MSE: 0.04475511366260442, PSNR: 64.14969490291874
MSE: 0.043551620695140895, PSNR: 59.615615942717696
MSE: 0.04636049370666242, PSNR: 58.497082596095325
MSE: 0.04826662963227023, PSNR: 60.06345463241289
MSE: 0.04436184078836958, PSNR: 61.3705583847655
MSE: 0.04211236552783081, PSNR: 60.610645954567495
MSE: 0.03847903382062062, PSNR: 58.43633013450004
MSE: 0.0349666793116897, PSNR: 76.16305765916917
MSE: 0.03402112620146403, PSNR: 51.537863870000095
MSE: 0.03516577414697026, PSNR: 48.744303794163756
MSE: 0.14394389720873182, PSNR: 59.9772106881644
MSE: 0.1763820392676097, PSNR: 64.9872720112212
MSE: 0.020127886210900788, PSNR: 61.032422833411886
MSE: 0.06987701135935269, PSNR: 67.82635208172233
MSE: 0.009998317493332914, PSNR: 74.38817851587328
MSE: 0.012471589028603736, PSNR: 70.56568365802819
MSE: 0.016919548230377803, PSNR: 61.99587501314714
MSE: 0.030726133749334614, PSNR: 82.21572757140906
