MSE: 0.020204182715490616, PSNR: 82.46628218342627
MSE: 0.01720663271400846, PSNR: 88.54784069240444
MSE: 0.01579022220388449, PSNR: 85.65370543102433
MSE: 0.015816167688530697, PSNR: 95.68909961274247
MSE: 0.023016786956957556, PSNR: 100.36984376936738
MSE: 0.03179641766485019, PSNR: 95.54360129646555
MSE: 0.03509031162038748, PSNR: 93.07878571237099
MSE: 0.0152583591658285, PSNR: 82.8379399165648
MSE: 0.015329338529020605, PSNR: 76.33746140320522
MSE: 0.01540919612950449, PSNR: 91.9375031946056
MSE: 0.11321011772264247, PSNR: 84.34453957328034
MSE: 0.015247178729174126, PSNR: 91.09115741357644
MSE: 0.015205459229411312, PSNR: 89.82346884105816
MSE: 0.01526751422068614, PSNR: 83.24622143665495
MSE: 0.015513993623396628, PSNR: 94.03053111394118
MSE: 0.015268956678104646, PSNR: 87.1960347384473
MSE: 0.014777364598500419, PSNR: 92.64131696977614
MSE: 0.014598175078449533, PSNR: 91.58897626982116
MSE: 0.01438588481674516, PSNR: 92.75845002619143
MSE: 0.01416837659419953, PSNR: 93.37970617455207
MSE: 0.014409429232707367, PSNR: 91.16360438622826
MSE: 0.1103041468322953, PSNR: 73.56934688720345
MSE: 0.014428299292913024, PSNR: 71.95878860641461
MSE: 0.014377767165907369, PSNR: 79.48321579379547
MSE: 0.014499878692859966, PSNR: 93.75622639527546
MSE: 0.014592286689744164, PSNR: 92.1949724754212
MSE: 0.014666427740702292, PSNR: 92.21963573749889
MSE: 0.014390810963662482, PSNR: 92.79621751365937
MSE: 0.014341668539840875, PSNR: 92.74441597498668
MSE: 0.014141293100777358, PSNR: 93.10870324111507
MSE: 0.014359472920095229, PSNR: 82.04221670818549
MSE: 0.014342907057357081, PSNR: 77.90012262235025
MSE: 0.09350908658990575, PSNR: 73.08327074203457
MSE: 0.014146685279851015, PSNR: 92.85372957763931
MSE: 0.014332322496769216, PSNR: 92.11241718336726
MSE: 0.014554620504710325, PSNR: 92.24289271924252
MSE: 0.015641631820005063, PSNR: 106.926515473506
MSE: 0.015209496942428435, PSNR: 93.20275871127342
MSE: 0.01592609179824589, PSNR: 87.20286958020253
MSE: 0.015942099962900916, PSNR: 87.11876310808394
MSE: 0.015754655593100072, PSNR: 77.6635947710806
MSE: 0.015489371196907322, PSNR: 82.61164030485224
MSE: 0.015369035889459754, PSNR: 80.78220479441873
MSE: 0.10290941450519082, PSNR: 74.79907384226262
MSE: 0.015345227103819038, PSNR: 87.91078705356847
MSE: 0.015128224921248856, PSNR: 91.25975849272567
MSE: 0.015156633477354525, PSNR: 71.90008790564521
MSE: 0.01501815047977676, PSNR: 89.2986225368974
MSE: 0.01474364086717248, PSNR: 80.23937904068131
MSE: 0.01522300697004543, PSNR: 75.8406657814733
MSE: 0.015436187485062033, PSNR: 74.89204905399718
MSE: 0.015187172884091875, PSNR: 80.37497335737936
MSE: 0.015465951843781993, PSNR: 100.20003446702765
MSE: 0.014900828129185927, PSNR: 84.73865069835063
MSE: 0.05685497940950948, PSNR: 89.10543204018862
MSE: 0.014764323494636678, PSNR: 91.02941415504901
MSE: 0.015345490577741443, PSNR: 91.75610280712607
MSE: 0.015724601049832504, PSNR: 83.13406690364998
MSE: 0.015838162392324398, PSNR: 88.97709643178332
MSE: 0.015852780059577423, PSNR: 87.64629573462994
MSE: 0.016264401310266782, PSNR: 85.59893593588629
MSE: 0.016217035683715283, PSNR: 87.3061583021055
MSE: 0.01601841504685844, PSNR: 85.99770743225476
MSE: 0.015917497617603027, PSNR: 76.2783499636774
MSE: 0.015797782148247185, PSNR: 84.06957292597092
MSE: 0.02599777608516265, PSNR: 84.06626399740547
MSE: 0.01625076669897483, PSNR: 68.59755857279916
MSE: 0.0199958228545226, PSNR: 67.10557669534893
MSE: 0.03624144518449725, PSNR: 99.27511249787644
MSE: 0.041234189671351965, PSNR: 92.85154105320464
MSE: 0.027382939292804994, PSNR: 65.74076004662444
MSE: 0.031922723617352676, PSNR: 101.557556609539
MSE: 0.028423830447973263, PSNR: 65.07924108971667
MSE: 0.028266644688268155, PSNR: 65.46238665306933
MSE: 0.028060879473684512, PSNR: 65.10966818889274
MSE: 0.027297487832286232, PSNR: 86.54836188668342
MSE: 0.05196916675432698, PSNR: 85.45041656818887
MSE: 0.051106201431723584, PSNR: 96.7633417341066
MSE: 0.05449801544325217, PSNR: 96.40924193169688
MSE: 0.05161253857257766, PSNR: 102.23429890553524
MSE: 0.05169826051251576, PSNR: 96.78894241570227
MSE: 0.05143466447300383, PSNR: 96.81639907534861
MSE: 0.02541294533057541, PSNR: 73.41793790907425
MSE: 0.022424709722473717, PSNR: 78.8107645223762
MSE: 0.010275471550845811, PSNR: 82.58123323476114
MSE: 0.012228614964638038, PSNR: 92.45943559473397
MSE: 0.018443998003587928, PSNR: 86.18857296675884
MSE: 0.04642033736389622, PSNR: 92.68932496292358
MSE: 0.085206577672291, PSNR: 82.55385054196088
MSE: 0.09498018605043025, PSNR: 87.21920139355012
MSE: 0.09007020722319851, PSNR: 80.36464338486708
MSE: 0.09438166691460317, PSNR: 83.03348898408805
MSE: 0.06945257498439966, PSNR: 82.73776300168007
MSE: 0.03565122360777573, PSNR: 90.53185404631256
MSE: 0.015631107772635225, PSNR: 93.53619942590052
MSE: 0.03449702258465035, PSNR: 92.38210402647893
MSE: 0.013733291789669628, PSNR: 90.60937061029776
MSE: 0.015497358616799748, PSNR: 82.48209104168203
MSE: 0.01621887177846689, PSNR: 78.31580365342573
MSE: 0.014335010655580451, PSNR: 61.53122130705191
MSE: 0.012952680216225804, PSNR: 82.60310729094093
MSE: 0.02071435122458016, PSNR: 102.87856571581702
MSE: 0.04713796834219891, PSNR: 81.43764095604075
MSE: 0.051485099943338754, PSNR: 80.82403551628138
MSE: 0.02890024365304103, PSNR: 82.22246954553884
MSE: 0.0157858362964379, PSNR: 88.99052808843683
MSE: 0.022195191414876296, PSNR: 70.18718937020574
MSE: 0.017493412466275674, PSNR: 81.54358539093501
MSE: 0.013942869539109769, PSNR: 84.74247149945614
MSE: 0.01791889189892697, PSNR: 87.1801333040531
MSE: 0.025964186601256316, PSNR: 79.75275252236419
MSE: 0.028484267603603647, PSNR: 88.55830905269293
MSE: 0.027772299897363958, PSNR: 68.58878365762664
MSE: 0.02725937416704688, PSNR: 68.06549549245004
MSE: 0.025198243993985764, PSNR: 85.86190893984751
MSE: 0.038441977610212064, PSNR: 99.76456972914721
MSE: 0.01595592214192799, PSNR: 80.59309747532748
MSE: 0.03888555258040736, PSNR: 94.53894394121048
MSE: 0.04114124303782185, PSNR: 93.80690812894858
MSE: 0.04346108005496951, PSNR: 97.16781487965665
MSE: 0.03269544955020972, PSNR: 101.26568380373435
MSE: 0.023598095943502713, PSNR: 71.26208126691071
MSE: 0.038692116884534014, PSNR: 109.78249330637388
MSE: 0.024591164110004903, PSNR: 98.91967652028143
MSE: 0.024127947409464872, PSNR: 107.12542008355364
MSE: 0.024187872604140095, PSNR: 101.73760089515815
MSE: 0.01627787449372457, PSNR: 78.74806315672915
MSE: 0.01628265228393049, PSNR: 67.30962140717632
MSE: 0.017354598758842783, PSNR: 68.4530358882021
MSE: 0.020576770881032245, PSNR: 110.08460467611583
MSE: 0.019067319045403545, PSNR: 72.25726677967769
MSE: 0.019714256077742742, PSNR: 81.33407706423606
MSE: 0.021753775449741754, PSNR: 107.4273563833507
MSE: 0.028591830195380443, PSNR: 100.34895473581031
MSE: 0.0227727433042768, PSNR: 87.76064066326354
MSE: 0.0262748961040729, PSNR: 85.44177468418171
MSE: 0.031014025663591707, PSNR: 89.40209761889678
MSE: 0.03055492334555895, PSNR: 85.79368988891177
MSE: 0.031403960092019595, PSNR: 85.50178181227497
MSE: 0.03336380268701219, PSNR: 77.25084003492903
MSE: 0.036489100310316575, PSNR: 92.87775339837451
MSE: 0.04357288462951335, PSNR: 99.78724807509344
MSE: 0.03176249230258815, PSNR: 110.85901333176253
MSE: 0.04048861708181311, PSNR: 103.95904552205278
MSE: 0.024182623346373642, PSNR: 69.97145213717486
MSE: 0.02260075172541704, PSNR: 90.12490185760542
MSE: 0.035686130245297584, PSNR: 111.01571139334601
MSE: 0.03705399130228768, PSNR: 111.01757843467388
MSE: 0.03584383228916329, PSNR: 105.24868999083894
MSE: 0.04651849858731451, PSNR: 103.21814467237162
MSE: 0.0392053409167951, PSNR: 106.27072089102866
MSE: 0.027620267232110383, PSNR: 100.44246350640422
MSE: 0.01968494952528888, PSNR: 102.02071330200268
MSE: 0.017847906671773734, PSNR: 83.08906786311618
MSE: 0.017369026608901824, PSNR: 102.69631905620517
MSE: 0.024945700165846973, PSNR: 86.1966071983921
MSE: 0.018012784216644106, PSNR: 88.36252034653387
MSE: 0.023320027974169592, PSNR: 96.93677645641799
MSE: 0.0339648308440149, PSNR: 98.70998923963722
MSE: 0.05045935337563257, PSNR: 97.48663186178763
MSE: 0.03477613736608164, PSNR: 80.00849476576752
MSE: 0.02830721957660244, PSNR: 81.6113206383182
MSE: 0.029179126522292213, PSNR: 88.09110468191298
MSE: 0.029880608932310405, PSNR: 91.97009029821912
MSE: 0.025232265870469298, PSNR: 94.54522996091984
MSE: 0.04244907661101724, PSNR: 82.95789610687851
MSE: 0.025208324234633043, PSNR: 92.85586719059152
MSE: 0.056115957241902055, PSNR: 90.97195135707256
MSE: 0.08139346458813057, PSNR: 85.1469724073054
MSE: 0.07542793883691895, PSNR: 83.52697672809637
MSE: 0.08706038824135945, PSNR: 84.94598993542652
MSE: 0.08738846508936676, PSNR: 89.30028234347722
MSE: 0.08755901310102303, PSNR: 87.3466752745493
MSE: 0.0895573271787153, PSNR: 91.6910747775507
MSE: 0.09449010737060345, PSNR: 94.25151507691317
MSE: 0.10147297880456996, PSNR: 87.32139328070446
MSE: 0.10562165290308254, PSNR: 87.82790192496377
MSE: 0.02364754702845828, PSNR: 93.97624122005115
MSE: 0.0939231778052056, PSNR: 95.49507576816566
MSE: 0.06577799129796709, PSNR: 89.80475298947692
MSE: 0.03767272140906145, PSNR: 100.92341555217574
MSE: 0.022816742336255018, PSNR: 83.94629526640279
MSE: 0.038538300499086124, PSNR: 107.29710948029049
MSE: 0.05010043442294704, PSNR: 105.41051400081714
MSE: 0.02256817959004296, PSNR: 67.24970977380679
MSE: 0.030840851582196606, PSNR: 105.66685770692908
